<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_20_00 >:[18000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_30_00 >:[18000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_35_00 >:[18000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_20_00 >:[19000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_30_00 >:[19000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_35_00 >:[19000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_30_00 >:[20000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_35_00 >:[20000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_45_00 >:[20000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_30_00 >:[21000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_35_00 >:[21000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_45_00 >:[21000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_50_00 >:[21000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_35_00 >:[22000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_45_00 >:[22000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_50_00 >:[22000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_45_00 >:[23000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_50_00 >:[23000]
<sensor=http://knoesis.wright.edu/ssw/System_C0837 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C0837_2004_08_08_07_45_00 >:[24000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_50_00 >:[24000]
<sensor=http://knoesis.wright.edu/ssw/System_C1192 obs=http://knoesis.wright.edu/ssw/Observation_AirTemperature_C1192_2004_08_08_07_50_00 >:[25000]
<>:[26000]
<>:[27000]
<>:[28000]
<>:[29000]
<>:[30000]
